acquisition_id,user_id,channel,campaign_name,utm_source,utm_medium,acquisition_date,acquisition_cost
74515,5515,Paid Social,Q2_Conversion,facebook,cpc,2024-06-14,47.34
74516,5516,Referral,,referral,referral,2024-05-23,9.63
74517,5517,Direct,,,,2024-02-12,
74518,5518,Paid Social,Q2_Conversion,instagram,cpc,2024-05-17,34.21
74519,5519,Paid Social,Q2_Conversion,facebook,cpc,2024-03-09,52.25
74520,5520,Paid Social,Q1_Retarget,facebook,cpc,2024-04-02,57.62
74521,5521,Paid Social,Q2_Scale,facebook,cpc,2024-06-16,52.38
74522,5522,Direct,,,,2024-05-22,
74523,5523,Organic Search,,google,organic,2024-06-02,
74524,5524,Paid Social,Q2_Conversion,facebook,cpc,2024-04-29,42.28
74525,5525,paid_social,Q1_Awareness,instagram,cpc,2024-03-08,58.1
74526,5526,Organic Search,,,,2024-05-11,
74527,5527,Direct,,,,2024-01-12,0.91
74528,5528,Organic Search,,google,organic,2024-05-18,
74529,5529,Paid Social,Q2_Conversion,facebook,cpc,2024-06-18,53.4
74530,5530,Paid Social,Q1_Retarget,facebook,cpc,2024-06-17,48.41
74531,5531,Referral,,referral,referral,2024-06-27,11.59
74532,5532,Direct,,,,2024-03-27,1.01
74533,5533,Paid Social,Q1_Awareness,facebook,cpc,2024-03-16,54.35
74534,5534,Referral,,referral,referral,2024-03-29,9.33
74535,5535,Direct,,,,2024-04-18,
74536,5536,Referral,,referral,referral,2024-05-16,7.2
74537,5537,Organic Search,,,,2024-02-03,
74538,5538,Referral,,referral,referral,2024-06-25,7.47
74539,5539,Paid Social,Q1_Retarget,facebook,cpc,2024-03-08,38.71
74540,5540,Organic Search,,google,organic,2024-04-26,
74541,5541,Organic Search,,google,organic,2024-05-02,
74542,5542,Paid Social,Q1_Awareness,facebook,cpc,2024-04-08,48.33
74543,5543,Direct,,,,2024-06-17,
74544,5544,Referral,,referral,referral,2024-03-31,5.08
74545,5545,Organic Search,,google,organic,2024-03-08,
74546,5546,Paid Social,Q2_Scale,facebook,cpc,2024-03-20,36.89
74547,5547,Organic Search,,,,2024-03-26,
74548,5548,Referral,,,,2024-04-22,6.71
74549,5549,Paid Social,Q2_Conversion,instagram,cpc,2024-01-27,45.7
74550,5550,Paid Social,Q2_Scale,instagram,cpc,2024-04-28,33.46
74551,5551,Direct,,,,2024-02-19,
74552,5552,Organic Search,,,,2024-04-22,
74553,5553,Referral,,referral,referral,2024-02-22,7.97
74554,5554,Organic Search,,,,2024-04-16,
74555,5555,Referral,,referral,referral,2024-03-21,9.97
74556,5556,Organic Search,,google,organic,2024-01-18,
74557,5557,Direct,,,,2024-02-04,
74558,5558,Organic Search,,google,organic,2024-05-16,
74559,5559,Paid Social,Q1_Awareness,facebook,cpc,2024-03-23,44.47
74560,5560,Organic Search,,,,2024-05-12,
74561,5561,organic search,,google,organic,2024-03-19,
74562,5562,Paid Social,Q2_Scale,instagram,cpc,2024-04-04,57.54
74563,5563,Referral,,referral,referral,2024-01-27,6.46
74564,5564,Organic Search,,,,2024-03-13,
74565,5565,Paid Social,Q2_Conversion,instagram,cpc,2024-04-28,45.21
74566,5566,Direct,,,,2024-03-16,
74567,5567,Direct,,,,2024-04-03,
74568,5568,Paid Social,Q3_Retention_Push,instagram,cpc,2024-02-13,44.59
74569,5569,Referral,,referral,referral,2024-01-25,9.4
74570,5570,Paid Social,Q3_Retention_Push,instagram,cpc,2024-06-17,51.88
74571,5571,Organic Search,,google,organic,2024-06-16,
74572,5572,Paid Social,Q1_Retarget,facebook,cpc,2024-03-01,44.81
74573,5573,Organic Search,,,,2024-04-03,
74574,5574,Paid Social,Q2_Scale,facebook,cpc,2024-05-09,47.06
74575,5575,Direct,,,,2024-04-03,0.81
74576,5576,Referral,,referral,referral,2024-02-23,7.59
74577,5577,Direct,,,,2024-03-29,
74578,5578,Organic Search,,,,2024-02-02,
74579,5579,Referral,,,,2024-04-04,5.18
74580,5580,Paid Social,Q2_Conversion,facebook,cpc,2024-03-23,39.09
74581,5581,Paid Social,Q3_Retention_Push,facebook,cpc,2024-04-11,37.38
74582,5582,Organic Search,,,,2024-02-16,
74583,5583,Paid Social,Q3_Retention_Push,instagram,cpc,2024-04-19,60.3
74584,5584,Organic Search,,google,organic,2024-01-21,
74585,5585,Paid Social,Q1_Awareness,instagram,cpc,2024-02-09,46.04
74586,5586,Paid Social,Q1_Retarget,instagram,cpc,2024-02-03,46.89
74587,5587,Organic Search,,google,organic,2024-03-02,
74588,5588,Direct,,,,2024-02-18,
74589,5589,Referral,,referral,referral,2024-03-26,9.37
74590,5590,Direct,,,,2024-02-11,
74591,5591,Organic Search,,,,2024-06-27,
74592,5592,Organic Search,,google,organic,2024-04-02,
74593,5593,Paid Social,Q2_Conversion,instagram,cpc,2024-01-14,57.66
74594,5594,Organic Search,,google,organic,2024-03-26,
74595,5595,Organic Search,,google,organic,2024-05-30,
74596,5596,Referral,,referral,referral,2024-02-20,10.45
74597,5597,Paid Social,Q1_Awareness,facebook,cpc,2024-02-12,41.61
74598,5598,paid_social,Q2_Conversion,instagram,cpc,2024-01-22,39.5
74599,5599,Paid Social,Q1_Retarget,instagram,cpc,2024-05-04,49.64
74600,5600,Paid Social,Q1_Retarget,facebook,cpc,2024-06-24,64.24
74601,5601,Organic Search,,,,2024-02-09,
74602,5602,Organic Search,,google,organic,2024-06-27,
74603,5603,Referral,,referral,referral,2024-04-27,6.53
74604,5604,Paid Social,Q2_Conversion,instagram,cpc,2024-05-13,55.78
74605,5605,Paid Social,Q2_Conversion,facebook,cpc,2024-01-09,55.82
74606,5606,Referral,,referral,referral,2024-02-17,8.83
74607,5607,Paid Social,Q2_Scale,instagram,cpc,2024-05-03,60.98
74608,5608,Organic Search,,google,organic,2024-03-17,
74609,5609,Paid Social,Q1_Retarget,facebook,cpc,2024-03-04,52.74
74610,5610,Paid Social,Q2_Scale,instagram,cpc,2024-06-19,38.73
74611,5611,Direct,,,,2024-02-03,1.88
74612,5612,Organic Search,,google,organic,2024-06-19,
74613,5613,Referral,,referral,referral,2024-02-06,5.7
74614,5614,Organic Search,,google,organic,2024-03-21,
74615,5615,Paid Social,Q2_Conversion,instagram,cpc,2024-03-24,35.89
74616,5616,Paid Social,Q2_Scale,facebook,cpc,2024-04-14,39.89
74617,5617,Referral,,,,2024-03-29,11.34
74618,5618,paid_social,Q1_Retarget,instagram,cpc,2024-04-15,41.77
74619,5619,Paid Social,Q1_Retarget,facebook,cpc,2024-02-17,39.09
74620,5620,Paid Social,Q2_Conversion,facebook,cpc,2024-05-20,50.17
74621,5621,Paid Social,Q2_Scale,facebook,cpc,2024-06-09,31.17
74622,5622,Direct,,,,2024-01-18,
74623,5623,Direct,,,,2024-06-04,
74624,5624,Organic Search,,google,organic,2024-03-06,
74625,5625,Paid Social,Q1_Retarget,instagram,cpc,2024-06-25,43.72
74626,5626,Organic Search,,google,organic,2024-02-23,
74627,5627,Paid Social,Q2_Conversion,facebook,cpc,2024-01-16,59.31
74628,5628,Organic Search,,google,organic,2024-01-03,
74629,5629,Paid Social,Q3_Retention_Push,instagram,cpc,2024-04-20,33.53
74630,5630,Organic Search,,google,organic,2024-01-19,
74631,5631,Organic Search,,google,organic,2024-06-24,
74632,5632,paid_social,Q1_Awareness,facebook,cpc,2024-01-21,45.67
74633,5633,Paid Social,Q2_Conversion,instagram,cpc,2024-06-06,52.75
74634,5634,Referral,,,,2024-03-06,5.53
74635,5635,Paid Social,Q3_Retention_Push,instagram,cpc,2024-05-07,49.87
74636,5636,Direct,,,,2024-02-15,
74637,5637,Organic Search,,,,2024-02-02,
74638,5638,Paid Social,Q2_Scale,facebook,cpc,2024-05-29,47.84
74639,5639,Direct,,,,2024-06-29,
74640,5640,Paid Social,Q1_Retarget,facebook,cpc,2024-01-29,47.07
74641,5641,Paid Social,Q1_Retarget,facebook,cpc,2024-03-19,47.67
74642,5642,Direct,,,,2024-02-19,1.46
74643,5643,Paid Social,Q2_Conversion,instagram,cpc,2024-06-30,45.8
74644,5644,Direct,,,,2024-01-10,
74645,5645,Referral,,referral,referral,2024-03-10,11.49
74646,5646,Direct,,,,2024-05-09,1.42
74647,5647,Referral,,,,2024-02-27,11.52
74648,5648,Direct,,,,2024-04-26,
74649,5649,organic_search,,,,2024-04-09,
74650,5650,Paid Social,Q2_Scale,instagram,cpc,2024-06-22,59.52
74651,5651,Organic Search,,,,2024-01-23,
74652,5652,Paid Social,Q2_Conversion,facebook,cpc,2024-06-20,50.73
74653,5653,Paid Social,Q1_Retarget,facebook,cpc,2024-02-22,51.41
74654,5654,Organic Search,,google,organic,2024-05-06,
74655,5655,Direct,,,,2024-01-13,1.08
74656,5656,Paid Social,Q2_Conversion,instagram,cpc,2024-06-30,43.18
74657,5657,Paid Social,Q1_Retarget,instagram,cpc,2024-05-29,59.98
74658,5658,Organic Search,,google,organic,2024-04-05,
74659,5659,Direct,,,,2024-01-24,
74660,5660,Direct,,,,2024-05-13,
74661,5661,Organic Search,,google,organic,2024-06-27,
74662,5662,paid_social,Q2_Conversion,instagram,cpc,2024-05-06,39.2
74663,5663,Organic Search,,google,organic,2024-06-19,
74664,5664,Paid Social,Q2_Scale,instagram,cpc,2024-02-20,54.04
74665,5665,Organic Search,,,,2024-04-30,
74666,5666,Organic Search,,google,organic,2024-06-18,
74667,5667,Direct,,,,2024-02-13,
74668,5668,Direct,,,,2024-01-30,
74669,5669,Paid Social,Q2_Conversion,instagram,cpc,2024-03-06,39.64
74670,5670,Paid Social,Q2_Conversion,instagram,cpc,2024-06-29,44.62
74671,5671,Direct,,,,2024-04-11,1.24
74672,5672,Paid Social,Q1_Retarget,facebook,cpc,2024-06-29,46.06
74673,5673,Paid Social,Q2_Scale,facebook,cpc,2024-06-25,34.56
74674,5674,Organic Search,,google,organic,2024-04-07,
74675,5675,Direct,,,,2024-03-25,
74676,5676,Paid Social,Q1_Retarget,facebook,cpc,2024-06-08,33.32
74677,5677,Direct,,,,2024-06-04,
74678,5678,Organic Search,,google,organic,2024-06-12,
74679,5679,Direct,,,,2024-04-06,
74680,5680,Referral,,referral,referral,2024-04-29,5.98
74681,5681,Paid Social,Q2_Conversion,instagram,cpc,2024-05-26,51.05
74682,5682,Organic Search,,google,organic,2024-03-28,
74683,5683,Organic Search,,,,2024-02-10,
74684,5684,Organic Search,,google,organic,2024-01-06,
74685,5685,Paid Social,Q1_Retarget,instagram,cpc,2024-02-03,49.04
74686,5686,Organic Search,,google,organic,2024-06-12,
74687,5687,Paid Social,Q3_Retention_Push,instagram,cpc,2024-05-20,45.88
74688,5688,Direct,,,,2024-01-06,
74689,5689,Direct,,,,2024-04-13,
74690,5690,Paid Social,Q1_Retarget,facebook,cpc,2024-02-21,55.21
74691,5691,Direct,,,,2024-01-06,
74692,5692,Paid Social,Q3_Retention_Push,instagram,cpc,2024-03-11,64.24
74693,5693,Paid Social,Q3_Retention_Push,instagram,cpc,2024-01-23,36.8
74694,5694,Direct,,,,2024-06-30,
74695,5695,Referral,,referral,referral,2024-06-01,10.6
74696,5696,Paid Social,Q2_Scale,facebook,cpc,2024-03-26,60.16
74697,5697,Paid Social,Q1_Awareness,facebook,cpc,2024-06-15,56.12
74698,5698,Organic Search,,,,2024-04-30,
74699,5699,Referral,,referral,referral,2024-03-21,11.01
74700,5700,Organic Search,,,,2024-03-08,
74701,5701,Paid Social,Q1_Retarget,facebook,cpc,2024-05-06,51.3
74702,5702,Referral,,,,2024-06-20,8.98
74703,5703,organic_search,,google,organic,2024-06-22,
74704,5704,Paid Social,Q1_Retarget,facebook,cpc,2024-04-24,41.77
74705,5705,Organic Search,,google,organic,2024-02-04,
74706,5706,Paid Social,Q2_Scale,facebook,cpc,2024-06-17,50.22
74707,5707,Organic Search,,google,organic,2024-06-14,
74708,5708,Organic Search,,google,organic,2024-02-15,
74709,5709,Direct,,,,2024-05-10,
74710,5710,Direct,,,,2024-06-17,
74711,5711,Referral,,referral,referral,2024-03-07,5.41
74712,5712,Paid Social,Q2_Conversion,instagram,cpc,2024-05-23,57.82
74713,5713,Paid Social,Q3_Retention_Push,facebook,cpc,2024-03-02,45.93
74714,5714,Organic Search,,google,organic,2024-03-31,
74715,5715,Direct,,,,2024-05-29,
74716,5716,Paid Social,Q1_Awareness,instagram,cpc,2024-02-15,54.18
74717,5717,Referral,,referral,referral,2024-04-18,6.08
74718,5718,Paid Social,Q1_Retarget,instagram,cpc,2024-04-25,32.9
74719,5719,Paid Social,Q1_Awareness,instagram,cpc,2024-04-29,59.27
74720,5720,Paid Social,Q3_Retention_Push,facebook,cpc,2024-04-14,40.22
74721,5721,Paid Social,Q2_Scale,facebook,cpc,2024-03-01,32.24
74722,5722,Paid Social,Q2_Conversion,facebook,cpc,2024-05-25,43.7
74723,5723,Direct,,,,2024-06-21,1.8
74724,5724,Paid Social,Q2_Conversion,facebook,cpc,2024-04-10,37.79
74725,5725,Paid Social,Q1_Awareness,facebook,cpc,2024-05-06,34.81
74726,5726,Direct,,,,2024-04-23,
74727,5727,Direct,,,,2024-04-04,1.79
74728,5728,Referral,,referral,referral,2024-02-18,6.61
74729,5729,Paid Social,Q3_Retention_Push,instagram,cpc,2024-05-02,40.54
74730,5730,Paid Social,Q2_Scale,instagram,cpc,2024-01-17,36.83
74731,5731,Organic Search,,google,organic,2024-01-07,
74732,5732,Paid Social,Q2_Scale,facebook,cpc,2024-04-10,63.51
74733,5733,Direct,,,,2024-03-23,
74734,5734,Paid Social,Q1_Retarget,facebook,cpc,2024-01-23,37.55
74735,5735,Paid Social,Q1_Retarget,facebook,cpc,2024-06-01,64.53
74736,5736,Organic Search,,google,organic,2024-02-29,
74737,5737,Paid Social,Q3_Retention_Push,facebook,cpc,2024-02-17,54.88
74738,5738,Paid Social,Q2_Conversion,instagram,cpc,2024-02-19,47.54
74739,5739,Referral,,referral,referral,2024-04-20,6.43
74740,5740,Direct,,,,2024-05-09,
74741,5741,Referral,,referral,referral,2024-02-19,9.84
74742,5742,Organic Search,,google,organic,2024-05-28,
74743,5743,Referral,,,,2024-03-08,11.29
74744,5744,organic search,,google,organic,2024-02-13,
74745,5745,Organic Search,,,,2024-01-05,
74746,5746,Paid Social,Q2_Conversion,instagram,cpc,2024-01-01,46.76
74747,5747,Organic Search,,,,2024-04-19,
74748,5748,Paid Social,Q1_Awareness,instagram,cpc,2024-01-10,39.28
74749,5749,paid social,Q1_Retarget,instagram,cpc,2024-01-21,34.12
74750,5750,Referral,,referral,referral,2024-04-01,10.91
74751,5751,Paid Social,Q1_Retarget,instagram,cpc,2024-03-26,57.25
74752,5752,Referral,,referral,referral,2024-01-28,7.24
74753,5753,Referral,,referral,referral,2024-03-15,5.5
74754,5754,Referral,,referral,referral,2024-03-18,8.04
74755,5755,Paid Social,Q3_Retention_Push,facebook,cpc,2024-05-13,63.15
74756,5756,Paid Social,Q3_Retention_Push,instagram,cpc,2024-04-16,51.81
74757,5757,Paid Social,Q1_Awareness,instagram,cpc,2024-06-04,53.1
74758,5758,Paid Social,Q1_Retarget,instagram,cpc,2024-06-10,39.18
74759,5759,Direct,,,,2024-03-19,1.02
74760,5760,Paid Social,Q1_Retarget,instagram,cpc,2024-03-17,63.59
74761,5761,Paid Social,Q3_Retention_Push,instagram,cpc,2024-01-25,37.5
74762,5762,Direct,,,,2024-06-12,
74763,5763,Referral,,referral,referral,2024-05-25,10.08
74764,5764,Paid Social,Q2_Scale,instagram,cpc,2024-04-12,58.87
74765,5765,Organic Search,,google,organic,2024-03-26,
74766,5766,Referral,,referral,referral,2024-02-06,9.02
74767,5767,Direct,,,,2024-05-18,0.92
74768,5768,Paid Social,Q2_Conversion,facebook,cpc,2024-01-07,51.95
74769,5769,Direct,,,,2024-06-25,
74770,5770,Paid Social,Q2_Conversion,instagram,cpc,2024-03-06,61.79
74771,5771,Referral,,referral,referral,2024-01-19,11.92
74772,5772,Direct,,,,2024-03-11,
74773,5773,Paid Social,Q1_Awareness,facebook,cpc,2024-06-19,45.08
74774,5774,Paid Social,Q2_Conversion,facebook,cpc,2024-06-28,52.6
74775,5775,Organic Search,,,,2024-06-18,
74776,5776,Paid Social,Q2_Scale,facebook,cpc,2024-01-15,45.22
74777,5777,Organic Search,,google,organic,2024-01-29,
74778,5778,Referral,,referral,referral,2024-03-28,7.76
74779,5779,Paid Social,Q2_Conversion,instagram,cpc,2024-04-15,33.32
74780,5780,Paid Social,Q1_Awareness,facebook,cpc,2024-01-17,58.66
74781,5781,Paid Social,Q3_Retention_Push,instagram,cpc,2024-04-04,52.63
74782,5782,Referral,,referral,referral,2024-03-19,9.79
74783,5783,Referral,,referral,referral,2024-03-08,8.44
74784,5784,Referral,,referral,referral,2024-06-06,6.42
74785,5785,Organic Search,,google,organic,2024-02-29,
74786,5786,Referral,,referral,referral,2024-03-14,11.97
74787,5787,Paid Social,Q2_Conversion,instagram,cpc,2024-05-26,30.34
74788,5788,Paid Social,Q1_Awareness,instagram,cpc,2024-04-04,57.17
74789,5789,Paid Social,Q1_Retarget,instagram,cpc,2024-05-21,34.25
74790,5790,Referral,,referral,referral,2024-01-06,9.27
74791,5791,Referral,,referral,referral,2024-06-16,6.21
74792,5792,Paid Social,Q1_Awareness,facebook,cpc,2024-01-29,46.9
74793,5793,Referral,,referral,referral,2024-02-28,11.13
74794,5794,Direct,,,,2024-02-23,
74795,5795,Direct,,,,2024-05-08,
74796,5796,Paid Social,Q2_Scale,facebook,cpc,2024-05-02,56.21
74797,5797,Direct,,,,2024-06-15,
74798,5798,Paid Social,Q1_Retarget,facebook,cpc,2024-05-31,58.37
74799,5799,Referral,,referral,referral,2024-03-15,8.13
74800,5800,organic search,,,,2024-05-09,
74801,5801,Paid Social,Q2_Conversion,facebook,cpc,2024-01-13,62.07
74802,5802,Direct,,,,2024-05-03,
74803,5803,Paid Social,Q3_Retention_Push,instagram,cpc,2024-02-27,41.93
74804,5804,Organic Search,,google,organic,2024-01-29,
74805,5805,Paid Social,Q1_Awareness,instagram,cpc,2024-03-19,38.69
74806,5806,paid social,Q1_Retarget,facebook,cpc,2024-01-29,51.55
74807,5807,Paid Social,Q1_Awareness,instagram,cpc,2024-03-23,38.65
74808,5808,Paid Social,Q1_Awareness,instagram,cpc,2024-02-15,30.55
74809,5809,Paid Social,Q3_Retention_Push,facebook,cpc,2024-02-22,41.42
74810,5810,Paid Social,Q1_Retarget,instagram,cpc,2024-01-06,46.9
74811,5811,Paid Social,Q3_Retention_Push,facebook,cpc,2024-06-10,59.56
74812,5812,Paid Social,Q2_Conversion,instagram,cpc,2024-03-19,53.7
74813,5813,Direct,,,,2024-05-17,0.7
74814,5814,Paid Social,Q3_Retention_Push,instagram,cpc,2024-05-14,38.09
74815,5815,Organic Search,,google,organic,2024-04-16,
74816,5816,Paid Social,Q3_Retention_Push,facebook,cpc,2024-03-03,59.31
74817,5817,Paid Social,Q1_Awareness,facebook,cpc,2024-05-06,33.73
74818,5818,Organic Search,,,,2024-04-22,
74819,5819,Paid Social,Q1_Awareness,instagram,cpc,2024-06-13,44.32
74820,5820,Referral,,referral,referral,2024-02-20,11.31
74821,5821,Direct,,,,2024-02-16,
74822,5822,Referral,,referral,referral,2024-06-14,10.4
74823,5823,Organic Search,,,,2024-02-09,
74824,5824,Referral,,referral,referral,2024-02-09,9.21
74825,5825,Organic Search,,google,organic,2024-03-15,
74826,5826,Paid Social,Q1_Retarget,facebook,cpc,2024-06-24,63.42
74827,5827,Direct,,,,2024-04-05,
74828,5828,Paid Social,Q1_Retarget,facebook,cpc,2024-06-08,36.58
74829,5829,Referral,,referral,referral,2024-01-30,8.47
74830,5830,Direct,,,,2024-04-11,
74831,5831,Organic Search,,google,organic,2024-06-22,
74832,5832,Paid Social,Q3_Retention_Push,instagram,cpc,2024-04-15,53.47
74833,5833,Direct,,,,2024-06-03,
74834,5834,Referral,,,,2024-01-21,5.23
74835,5835,Paid Social,Q2_Conversion,instagram,cpc,2024-03-14,43.86
74836,5836,Paid Social,Q2_Scale,facebook,cpc,2024-06-01,30.6
74837,5837,Direct,,,,2024-04-11,
74838,5838,Paid Social,Q2_Conversion,facebook,cpc,2024-05-15,56.76
74839,5839,Referral,,referral,referral,2024-02-22,8.26
74840,5840,Paid Social,Q1_Retarget,instagram,cpc,2024-04-03,59.54
74841,5841,Direct,,,,2024-01-08,
74842,5842,Direct,,,,2024-04-14,
74843,5843,Paid Social,Q2_Scale,instagram,cpc,2024-04-03,31.96
74844,5844,Paid Social,Q2_Conversion,facebook,cpc,2024-01-31,44.27
74845,5845,Paid Social,Q3_Retention_Push,facebook,cpc,2024-06-20,42.77
74846,5846,Organic Search,,google,organic,2024-01-22,
74847,5847,Organic Search,,google,organic,2024-06-18,
74848,5848,Paid Social,Q2_Scale,instagram,cpc,2024-04-25,56.54
74849,5849,Paid Social,Q1_Retarget,instagram,cpc,2024-05-17,53.14
74850,5850,Referral,,referral,referral,2024-04-10,11.86
74851,5851,Organic Search,,google,organic,2024-05-05,
74852,5852,Paid Social,Q1_Retarget,facebook,cpc,2024-05-28,38.31
74853,5853,Direct,,,,2024-03-04,
74854,5854,Direct,,,,2024-04-13,
74855,5855,Paid Social,Q3_Retention_Push,facebook,cpc,2024-05-13,46.84
74856,5856,Organic Search,,,,2024-02-21,
74857,5857,Direct,,,,2024-06-11,
74858,5858,Paid Social,Q2_Scale,instagram,cpc,2024-01-06,45.84
74859,5859,Direct,,,,2024-04-03,
74860,5860,Organic Search,,,,2024-01-02,
74861,5861,Paid Social,Q2_Conversion,facebook,cpc,2024-01-29,50.22
74862,5862,Direct,,,,2024-06-10,
74863,5863,Paid Social,Q3_Retention_Push,instagram,cpc,2024-05-07,49.17
74864,5864,Direct,,,,2024-05-26,1.9
74865,5865,Organic Search,,,,2024-05-11,
74866,5866,Paid Social,Q1_Retarget,facebook,cpc,2024-06-19,57.31
74867,5867,Referral,,referral,referral,2024-06-08,10.14
74868,5868,Paid Social,Q2_Conversion,instagram,cpc,2024-02-02,32.2
74869,5869,Referral,,referral,referral,2024-06-30,7.98
74870,5870,Organic Search,,google,organic,2024-03-22,
74871,5871,Paid Social,Q2_Conversion,instagram,cpc,2024-04-23,40.6
74872,5872,Organic Search,,google,organic,2024-05-19,
74873,5873,Organic Search,,google,organic,2024-05-28,
74874,5874,Direct,,,,2024-04-13,
74875,5875,Paid Social,Q1_Awareness,facebook,cpc,2024-02-04,35.16
74876,5876,Paid Social,Q2_Scale,instagram,cpc,2024-04-12,34.7
74877,5877,Direct,,,,2024-01-17,
74878,5878,Organic Search,,google,organic,2024-05-28,
74879,5879,Direct,,,,2024-02-17,0.68
74880,5880,Referral,,referral,referral,2024-03-15,5.86
74881,5881,Organic Search,,google,organic,2024-01-27,
74882,5882,Organic Search,,,,2024-03-10,
74883,5883,Paid Social,Q3_Retention_Push,facebook,cpc,2024-05-31,34.07
74884,5884,Referral,,referral,referral,2024-03-06,6.78
74885,5885,Paid Social,Q1_Retarget,instagram,cpc,2024-05-23,42.78
74886,5886,Paid Social,Q3_Retention_Push,facebook,cpc,2024-03-23,64.89
74887,5887,Paid Social,Q1_Retarget,instagram,cpc,2024-01-17,34.44
74888,5888,Paid Social,Q1_Awareness,instagram,cpc,2024-02-20,51.15
74889,5889,Paid Social,Q2_Scale,instagram,cpc,2024-06-12,43.5
74890,5890,Referral,,,,2024-02-06,6.68
74891,5891,Direct,,,,2024-05-21,1.22
74892,5892,Paid Social,Q3_Retention_Push,instagram,cpc,2024-06-24,53.28
74893,5893,paid social,Q2_Conversion,instagram,cpc,2024-03-16,39.35
74894,5894,Organic Search,,google,organic,2024-02-25,
74895,5895,Referral,,,,2024-01-21,6.5
74896,5896,Direct,,,,2024-06-20,
74897,5897,Referral,,referral,referral,2024-04-16,10.83
74898,5898,Direct,,,,2024-05-15,
74899,5899,Organic Search,,google,organic,2024-06-01,
74900,5900,Direct,,,,2024-01-17,
74901,5901,Direct,,,,2024-06-25,
74902,5902,Organic Search,,,,2024-02-06,
74903,5903,Direct,,,,2024-01-27,
74904,5904,Organic Search,,google,organic,2024-06-03,
74905,5905,Paid Social,Q2_Conversion,facebook,cpc,2024-06-10,57.44
74906,5906,Referral,,referral,referral,2024-04-10,6.62
74907,5907,Referral,,referral,referral,2024-05-13,6.57
74908,5908,Referral,,referral,referral,2024-03-20,11.65
74909,5909,Paid Social,Q1_Retarget,instagram,cpc,2024-04-28,45.52
74910,5910,Organic Search,,google,organic,2024-06-14,
74911,5911,Direct,,,,2024-01-25,
74912,5912,Paid Social,Q2_Conversion,facebook,cpc,2024-03-26,62.04
74913,5913,paid_social,Q3_Retention_Push,facebook,cpc,2024-06-17,53.05
74914,5914,Organic Search,,google,organic,2024-05-13,
74915,5915,Referral,,referral,referral,2024-01-22,9.19
74916,5916,Organic Search,,google,organic,2024-01-09,
74917,5917,Paid Social,Q2_Scale,facebook,cpc,2024-01-09,36.52
74918,5918,Paid Social,Q1_Retarget,instagram,cpc,2024-01-06,30.22
74919,5919,Paid Social,Q2_Scale,instagram,cpc,2024-04-25,55.14
74920,5920,Organic Search,,google,organic,2024-01-01,
74921,5921,Paid Social,Q1_Retarget,instagram,cpc,2024-03-13,39.73
74922,5922,Direct,,,,2024-01-11,
74923,5923,Organic Search,,google,organic,2024-02-06,
74924,5924,Organic Search,,google,organic,2024-01-24,
74925,5925,Referral,,,,2024-04-04,9.7
74926,5926,Paid Social,Q2_Conversion,facebook,cpc,2024-06-28,49.06
74927,5927,Organic Search,,google,organic,2024-02-23,
74928,5928,Direct,,,,2024-04-16,
74929,5929,Paid Social,Q2_Conversion,instagram,cpc,2024-02-23,58.81
74930,5930,Paid Social,Q2_Conversion,instagram,cpc,2024-06-12,57.99
74931,5931,Organic Search,,google,organic,2024-06-09,
74932,5932,Paid Social,Q2_Conversion,facebook,cpc,2024-06-29,38.64
74933,5933,Organic Search,,google,organic,2024-05-16,
74934,5934,Organic Search,,,,2024-01-18,
74935,5935,Paid Social,Q1_Awareness,instagram,cpc,2024-01-07,47.67
74936,5936,Organic Search,,google,organic,2024-05-27,
74937,5937,Referral,,referral,referral,2024-03-22,5.21
74938,5938,Organic Search,,,,2024-04-25,
74939,5939,Organic Search,,google,organic,2024-01-05,
74940,5940,Paid Social,Q2_Conversion,facebook,cpc,2024-06-11,40.66
74941,5941,Paid Social,Q1_Retarget,facebook,cpc,2024-06-08,61.36
74942,5942,Paid Social,Q3_Retention_Push,facebook,cpc,2024-06-12,59.14
74943,5943,Organic Search,,google,organic,2024-05-13,
74944,5944,paid_social,Q3_Retention_Push,instagram,cpc,2024-01-14,53.38
74945,5945,Paid Social,Q3_Retention_Push,instagram,cpc,2024-05-22,50.49
74946,5946,Paid Social,Q1_Awareness,instagram,cpc,2024-06-28,61.29
74947,5947,Paid Social,Q3_Retention_Push,instagram,cpc,2024-03-20,42.91
74948,5948,Direct,,,,2024-02-18,
74949,5949,Organic Search,,,,2024-03-05,
74950,5950,Organic Search,,google,organic,2024-02-23,
74951,5951,Direct,,,,2024-02-08,
74952,5952,Paid Social,Q3_Retention_Push,instagram,cpc,2024-04-01,36.79
74953,5953,organic search,,google,organic,2024-04-19,
74954,5954,Paid Social,Q2_Scale,instagram,cpc,2024-01-27,56.25
74955,5955,Direct,,,,2024-04-16,
74956,5956,Referral,,referral,referral,2024-06-12,5.53
74957,5957,Paid Social,Q1_Retarget,instagram,cpc,2024-03-24,55.63
74958,5958,Organic Search,,google,organic,2024-05-07,
74959,5959,Direct,,,,2024-04-16,1.55
74960,5960,Organic Search,,,,2024-05-29,
74961,5961,Organic Search,,,,2024-04-03,
74962,5962,Paid Social,Q2_Conversion,facebook,cpc,2024-01-18,42.63
74963,5963,Organic Search,,google,organic,2024-01-01,
